"name","area","depth"
"Andaman Sea","600000","3113"
"Arabian Sea","3862000","4650"
"Arafura Sea","650000","3680"
"Arctic Ocean",NULL,"5608"
"Atlantic Ocean",NULL,"9219"
"Baffin Bay","689000","2905"
"Baltic Sea","377000","459"
"Banda Sea","500000","7440"
"Barents Sea","1400000","450"
"Bering Sea","2300000","4096"
"Black Sea","436000","2211"
"Caribbean Sea","2754000","7240"
"Chukchi Sea","620000",NULL
"Coral Sea","4070000","7661"
"East China Sea","1249000","2370"
"East Sibirian Sea","1518000","155"
"Greenland Sea","1205000","4846"
"Gulf of Aden","410000","3680"
"Gulf of Bengal","2172000","4045"
"Gulf of California","160000",NULL
"Gulf of Mexico","1550000","4375"
"Gulf of Oman","181000","3350"
"Gulf of Thailand","320000","80"
"Hudson Bay","1230000","258"
"Indian Ocean",NULL,"6400"
"Irish Sea","46000","272"
"Java Sea","320000","2333"
"Kara Sea","926000","620"
"Kattegat","30000","94"
"Labrador Sea","841000","4316"
"Lago de Maracaibo","13512","50"
"Laptev Sea","714000","2980"
"Malakka Strait","200000","104"
"Marmara Sea","11350","1355"
"Mediterranean Sea","2500000","5267"
"North Sea","575000","200"
"Norwegian Sea","1383000","3970"
"Pacific Ocean",NULL,"11034"
"Persian Gulf","251000","102"
"Red Sea","438000","2635"
"San Francisco Bay","13512",NULL
"Savu Sea","60000","3500"
"Sea of Azov","37600","100"
"Sea of Japan","978000","4036"
"Sea of Okhotsk","1583000","3372"
"Seto Inland Sea","23200","105"
"Skagerrak","47000","725"
"Solomon Sea","720000","9140"
"South China Sea","3500000","5420"
"Sulawesi Sea","280000","6218"
"Sulu Sea","420000","6218"
"Tasman Sea","2331000","5200"
"The Channel","75000","175"
"Timor Sea","100000","3300"
"White Sea","90000","340"
"Yellow Sea","380000","200"
